Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
EM           EM_Q1000        0.2     pMCSKY  504969.17      719.0      756.0        712       3353
EM           EM_Q1000        0.2       OURS    7127.56       18.0       76.0        712       3353
EM           EM_Q1000        0.2        SOP  586855.74     1256.0     1311.0        712       3353
EM           EM_Q1000        0.2     pMCSKY  511615.08      720.0      795.0        822       4725
EM           EM_Q1000        0.2       OURS    8023.71       18.0       95.0        822       4725
EM           EM_Q1000        0.2        SOP  569232.30     1257.0     1327.0        822       4725
EM           EM_Q1000        0.2     pMCSKY  507304.34      721.0      795.0        902       3334
EM           EM_Q1000        0.2       OURS    9661.24       18.0       95.0        952       3384
EM           EM_Q1000        0.2        SOP  560429.24     1258.0     1336.0        952       3384
EM           EM_Q1000        0.2     pMCSKY  515379.83      721.0      798.0        771       3902
EM           EM_Q1000        0.2       OURS    9340.01       18.0      120.0        771       3902
EM           EM_Q1000        0.2        SOP  570972.26     1258.0     1336.0        771       3902
EM           EM_Q1000        0.2     pMCSKY  513754.43      720.0      799.0        733       4271
EM           EM_Q1000        0.2       OURS    8063.93       17.0       97.0        733       4271
EM           EM_Q1000        0.2        SOP  571612.84     1257.0     1337.0        733       4271
