Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
FC           FC_Q1000        0.2        SOP  416178.90      773.0      812.0       1313       6507
FC           FC_Q1000        0.2     pMCSKY  404674.94      237.0      298.0       1313       6507
FC           FC_Q1000        0.2       OURS   11591.52       22.0      123.0       1313       6507
FC            FC_Q100        0.2        SOP   43842.63      232.0      325.0        500        557
FC            FC_Q100        0.2     pMCSKY   47090.39      176.0      269.0        500        557
FC            FC_Q100        0.2       OURS    2426.78       21.0      123.0        500        557
FC             FC_Q10        0.2        SOP    3989.86      104.0      191.0         25         25
FC             FC_Q10        0.2     pMCSKY    4901.34       97.0      188.0         25         25
FC             FC_Q10        0.2       OURS    1403.10       18.0      115.0         25         25
FC              FC_Q1        0.2        SOP    3885.99       12.0      104.0          6          6
FC              FC_Q1        0.2     pMCSKY    5634.80       10.0      102.0          6          6
FC              FC_Q1        0.2       OURS      28.08       21.0      113.0          6          6

HPC         HPC_Q1000        0.2        SOP  115574.02      702.0      790.0        239       2738
HPC         HPC_Q1000        0.2     pMCSKY  112518.75      165.0      257.0        239       2738
HPC         HPC_Q1000        0.2       OURS    1883.20       10.0      103.0        239       2738
HPC          HPC_Q100        0.2        SOP   11925.41      167.0      259.0        125        408
HPC          HPC_Q100        0.2     pMCSKY    9936.55       92.0      182.0        125        408
HPC          HPC_Q100        0.2       OURS     416.50        9.0      102.0        125        408
HPC           HPC_Q10        0.2        SOP    1417.13       71.0      162.0         30         30
HPC           HPC_Q10        0.2     pMCSKY    1357.21       52.0      141.0         30         30
HPC           HPC_Q10        0.2       OURS      52.40        8.0      101.0         30         30
HPC            HPC_Q1        0.2        SOP     511.78        8.0      100.0          1          1
HPC            HPC_Q1        0.2     pMCSKY     391.59        5.0       96.0          1          1
HPC            HPC_Q1        0.2       OURS       8.49        6.0       98.0          1          1

TAO         TAO_Q1000        0.2        SOP  281600.01      786.0      873.0        266       9507
TAO         TAO_Q1000        0.2     pMCSKY  286840.17      250.0      342.0        266       9507
TAO         TAO_Q1000        0.2       OURS    1079.44        6.0       99.0        266       9507
TAO          TAO_Q100        0.2        SOP   35474.52      258.0      346.0        165       1081
TAO          TAO_Q100        0.2     pMCSKY   37464.28      196.0      285.0        165       1081
TAO          TAO_Q100        0.2       OURS     232.22        6.0      100.0        165       1081
TAO           TAO_Q10        0.2        SOP    4657.21      104.0      196.0        119        124
TAO           TAO_Q10        0.2     pMCSKY    5608.05       91.0      180.0        119        124
TAO           TAO_Q10        0.2       OURS      42.13        5.0       98.0        119        124
TAO            TAO_Q1        0.2        SOP    1718.00        8.0       99.0          2          2
TAO            TAO_Q1        0.2     pMCSKY    2351.41        6.0       97.0          2          2
TAO            TAO_Q1        0.2       OURS       1.83        4.0       96.0          2          2

FC           FC_Q1000        0.2        SOP  401186.75      774.0      865.0        900       3577
FC           FC_Q1000        0.2     pMCSKY  446922.99      237.0      328.0        900       3577
FC           FC_Q1000        0.2       OURS   12717.91       22.0      120.0        900       3577
FC            FC_Q100        0.2        SOP   45124.01      232.0      323.0        245        315
FC            FC_Q100        0.2     pMCSKY   48239.61      176.0      267.0        245        315
FC            FC_Q100        0.2       OURS    5079.91       21.0      118.0        245        315
FC             FC_Q10        0.2        SOP    7646.28      116.0      206.0         14         14
FC             FC_Q10        0.2     pMCSKY   10096.98      109.0      200.0         14         14
FC             FC_Q10        0.2       OURS     272.75       20.0      117.0         14         14
FC              FC_Q1        0.2        SOP    3763.66       11.0      103.0          6          6
FC              FC_Q1        0.2     pMCSKY    5239.17       10.0      102.0          6          6
FC              FC_Q1        0.2       OURS      25.10       21.0      113.0          6          6

HPC         HPC_Q1000        0.2        SOP  116457.87      701.0      792.0        269       3979
HPC         HPC_Q1000        0.2     pMCSKY  114660.50      165.0      257.0        269       3979
HPC         HPC_Q1000        0.2       OURS    2281.04       10.0      103.0        269       3979
HPC          HPC_Q100        0.2        SOP   12702.62      173.0      263.0        109        241
HPC          HPC_Q100        0.2     pMCSKY   10780.19       98.0      190.0        109        241
HPC          HPC_Q100        0.2       OURS     356.04       10.0      102.0        109        241
HPC           HPC_Q10        0.2        SOP     890.73       56.0      134.0          0          0
HPC           HPC_Q10        0.2     pMCSKY     765.35       40.0      132.0          0          0
HPC           HPC_Q10        0.2       OURS       6.06        5.0      102.0          0          0
HPC            HPC_Q1        0.2        SOP     520.37        8.0      100.0          1          1
HPC            HPC_Q1        0.2     pMCSKY     402.05        5.0       97.0          1          1
HPC            HPC_Q1        0.2       OURS       7.77        6.0       98.0          1          1

TAO         TAO_Q1000        0.2        SOP  277797.50      788.0      880.0        246      10335
TAO         TAO_Q1000        0.2     pMCSKY  287968.63      252.0      344.0        246      10335
TAO         TAO_Q1000        0.2       OURS     856.56        6.0       99.0        246      10335
