Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
FC            FC_Q100        0.2        SOP  540314.00      259.2      278.6        167        226
FC            FC_Q100        0.2     pMCSKY  445215.40      203.1      221.4        167        226
FC            FC_Q100        0.2       OURS    3074.70       21.0       32.4        167        226

HPC          HPC_Q100        0.2        SOP   97206.30      178.3      201.3         95        200
HPC          HPC_Q100        0.2     pMCSKY   83863.20      116.4      132.1         95        200
HPC          HPC_Q100        0.2       OURS     379.40        9.7       14.8         95        200

STK          STK_Q100        0.2        SOP  167372.40      184.3      208.1        100        283
STK          STK_Q100        0.2     pMCSKY  149816.70      128.0      151.7        100        283
STK          STK_Q100        0.2       OURS      22.20        4.0        9.3        100        283

TAO          TAO_Q100        0.2        SOP  432140.40      240.4      276.3        125        504
TAO          TAO_Q100        0.2     pMCSKY  373073.40      179.7      216.2        125        504
TAO          TAO_Q100        0.2       OURS     100.60        5.2       12.5        125        504

GAS          GAS_Q100        0.2        SOP  956975.40      369.9      404.5         45        138
GAS          GAS_Q100        0.2     pMCSKY  830250.50      309.6      350.7         45        138
GAS          GAS_Q100        0.2       OURS     733.00       14.7       21.5         45        138

EM            EM_Q100        0.2        SOP 1230695.70      697.0      719.2        154        155
EM            EM_Q100        0.2     pMCSKY 1177948.20      640.4      659.8        154        155
EM            EM_Q100        0.2       OURS    4338.00       15.6       22.2        154        155

FC            FC_Q100        0.2        SOP  561112.60      263.4      280.4        205        244

STK          STK_Q100        0.2        SOP  184286.40      189.6      205.7         40        220
STK          STK_Q100        0.2     pMCSKY  170187.50      131.8      151.9         40        220
STK          STK_Q100        0.2       OURS      26.70        4.0        9.4         40        220
STK          STK_Q100        0.2        SOP  192242.80      190.8      209.7         48        199
STK          STK_Q100        0.2     pMCSKY  171501.50      133.7      154.0         48        199
STK          STK_Q100        0.2       OURS      18.10        4.0        9.4         48        199
STK          STK_Q100        0.2        SOP  187445.70      190.1      202.9         81        262
STK          STK_Q100        0.2     pMCSKY  171458.00      132.4      147.3         81        262
STK          STK_Q100        0.2       OURS      30.40        4.0        9.4         81        262
STK          STK_Q100        0.2        SOP  173913.10      190.1      210.4         86        318
STK          STK_Q100        0.2     pMCSKY  159447.30      129.1      156.6         86        318
STK          STK_Q100        0.2       OURS      28.80        4.0        9.4         86        318

GAS          GAS_Q100        0.2     pMCSKY  862604.10      315.9      356.2         36         82
GAS          GAS_Q100        0.2       OURS     792.90       15.2       22.2         36         82
GAS          GAS_Q100        0.2        SOP  955778.20      375.8      407.6         36         82

HPC          HPC_Q100        0.2     pMCSKY   82722.50      113.6      132.8        135        242
HPC          HPC_Q100        0.2       OURS     419.50        9.4       15.4        135        242

EM            EM_Q100        0.2     pMCSKY 1139518.40      628.2      668.6         65         65
EM            EM_Q100        0.2       OURS    2750.00       16.3       20.9         65         65
