Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
Mu: 10
STK          STK_Q100        0.2      NAIVE   15533.01        2.0        7.0         74        254
STK          STK_Q100        0.2        SOP   12281.90      178.4      203.0         74        254
STK          STK_Q100        0.2     pMCSKY   12019.13      120.5      145.0         74        254
STK          STK_Q100        0.2      NAIVE   16549.30        2.0        7.0         80        286
STK          STK_Q100        0.2        SOP   13082.17      180.8      207.0         80        286
STK          STK_Q100        0.2     pMCSKY   12711.02      122.0      150.0         80        286
STK          STK_Q100        0.2      NAIVE   16277.34        2.0        7.0         90        287
STK          STK_Q100        0.2        SOP   12890.22      179.8      206.0         90        287
STK          STK_Q100        0.2     pMCSKY   12599.48      120.6      150.0         90        287
STK          STK_Q100        0.2      NAIVE   16119.85        2.0        7.0         98        280
STK          STK_Q100        0.2        SOP   13067.76      179.3      412.0         98        280
STK          STK_Q100        0.2     pMCSKY   11953.73      121.1      154.0         98        280
STK          STK_Q100        0.2      NAIVE   15588.95        2.0       12.0         89        284
STK          STK_Q100        0.2        SOP   14580.54      179.6      223.0         89        284
STK          STK_Q100        0.2     pMCSKY   13890.14      121.3      155.0         89        284

TAO          TAO_Q100        0.2      NAIVE   16181.45        2.0       12.0        122        562
TAO          TAO_Q100        0.2        SOP   25302.24      229.0      277.0        122        562
TAO          TAO_Q100        0.2     pMCSKY   24506.16      170.0      218.0        122        562
TAO          TAO_Q100        0.2      NAIVE   15299.41        2.0       12.0        121        566
TAO          TAO_Q100        0.2        SOP   23317.54      230.1      282.0        121        566
TAO          TAO_Q100        0.2     pMCSKY   20969.89      171.1      221.0        121        566
TAO          TAO_Q100        0.2      NAIVE   14593.84        2.0       12.0        126        594
TAO          TAO_Q100        0.2        SOP   22034.71      230.8      281.0        126        594
TAO          TAO_Q100        0.2     pMCSKY   24725.46      171.3      223.0        126        594
TAO          TAO_Q100        0.2      NAIVE   16272.47        2.0       12.0        125        565
TAO          TAO_Q100        0.2        SOP   25455.83      230.6      283.0        125        565
TAO          TAO_Q100        0.2     pMCSKY   24488.53      171.8      225.0        125        565
TAO          TAO_Q100        0.2      NAIVE   15146.44        2.0       12.0        114        514
TAO          TAO_Q100        0.2        SOP   24786.41      228.7      273.0        114        514
TAO          TAO_Q100        0.2     pMCSKY   24088.22      168.8      213.0        114        514

HPC          HPC_Q100        0.2      NAIVE   21389.20        2.4       22.0        102        258
HPC          HPC_Q100        0.2        SOP    6946.85      144.8      208.0        102        258
HPC          HPC_Q100        0.2     pMCSKY    6474.16       79.3      149.0        102        258
HPC          HPC_Q100        0.2      NAIVE   21361.56        2.4       22.0         99        258
HPC          HPC_Q100        0.2        SOP    6785.56      143.3      204.0         99        258
HPC          HPC_Q100        0.2     pMCSKY    6462.12       79.6      135.0         99        258
HPC          HPC_Q100        0.2      NAIVE   22077.42        2.9       22.0        100        267
HPC          HPC_Q100        0.2        SOP    6734.39      142.7      211.0        100        267
HPC          HPC_Q100        0.2     pMCSKY    6289.48       77.2      150.0        100        267
HPC          HPC_Q100        0.2      NAIVE   21321.54        2.4       22.0         94        244
HPC          HPC_Q100        0.2        SOP    6356.46      142.8      203.0         94        244
HPC          HPC_Q100        0.2     pMCSKY    5698.02       79.4      134.0         94        244
HPC          HPC_Q100        0.2      NAIVE   18590.14        2.3       22.0         91        232
HPC          HPC_Q100        0.2        SOP    6072.25      141.3      203.0         91        232
