Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
STK          STK_Q100        0.2        SOP    2537.16       56.0       63.0         75        243
STK          STK_Q100        0.2     pMCSKY    2493.67       27.2       35.0         75        243
STK          STK_Q100        0.2       OURS      12.84        2.0        7.0         75        243
GAS          GAS_Q100        0.2        SOP    6708.28       81.6      128.0         10         27
GAS          GAS_Q100        0.2     pMCSKY    6548.30       52.5      120.0         10         27
GAS          GAS_Q100        0.2       OURS      92.97        4.7       44.0         10         27
EM            EM_Q100        0.2        SOP   11374.62       99.6      182.0        127        147
EM            EM_Q100        0.2     pMCSKY   11314.14       71.3      154.0        127        147
EM            EM_Q100        0.2       OURS     543.44        8.3       85.0        127        147
TAO          TAO_Q100        0.2        SOP    4398.58       83.7      170.0         53        370
TAO          TAO_Q100        0.2     pMCSKY    4346.87       55.4      141.0         53        370
TAO          TAO_Q100        0.2       OURS      44.20        2.6       79.0         53        370
HPC          HPC_Q100        0.2        SOP    1929.06       51.9      136.0         60        465
HPC          HPC_Q100        0.2     pMCSKY    1685.11       21.3      105.0         60        465
HPC          HPC_Q100        0.2       OURS     119.61        5.3       82.0         60        465
FC            FC_Q100        0.2        SOP    8285.40       66.6      144.0        161        352
FC            FC_Q100        0.2     pMCSKY    8867.22       38.5      116.0        161        352
FC            FC_Q100        0.2       OURS     741.17       10.0       87.0        161        352

STK          STK_Q100        0.2        SOP    2576.62       56.0      134.0         51        225
STK          STK_Q100        0.2     pMCSKY    2442.99       27.1      106.0         51        225
STK          STK_Q100        0.2       OURS       8.33        2.0       79.0         51        225
GAS          GAS_Q100        0.2        SOP    6240.23       79.2      181.0          6         19
GAS          GAS_Q100        0.2     pMCSKY    6259.63       51.2      153.0          6         19
GAS          GAS_Q100        0.2       OURS      87.90        3.9       81.0          6         19
EM            EM_Q100        0.2        SOP   11063.39       99.9      179.0        153        179
EM            EM_Q100        0.2     pMCSKY   10911.29       71.3      151.0        153        179
EM            EM_Q100        0.2       OURS     680.45        8.1       84.0        153        179
TAO          TAO_Q100        0.2        SOP    4269.97       83.8      170.0         50        357
TAO          TAO_Q100        0.2     pMCSKY    4134.16       53.6      140.0         50        357
TAO          TAO_Q100        0.2       OURS      19.50        2.0       78.0         50        357
HPC          HPC_Q100        0.2        SOP    1888.99       51.9      134.0         66        483
HPC          HPC_Q100        0.2     pMCSKY    1722.86       21.9      105.0         66        483
HPC          HPC_Q100        0.2       OURS     135.80        5.1       81.0         66        483
FC            FC_Q100        0.2        SOP    8035.37       66.0      145.0        223        476
FC            FC_Q100        0.2     pMCSKY    7974.41       37.8      117.0        223        476
FC            FC_Q100        0.2       OURS     705.94       10.1       89.0        223        476

STK          STK_Q100        0.2        SOP    2489.89       55.8      134.0         53        216
STK          STK_Q100        0.2     pMCSKY    2361.25       26.4      105.0         53        216
STK          STK_Q100        0.2       OURS       8.18        2.0       78.0         53        216
GAS          GAS_Q100        0.2        SOP    6394.61       79.6      181.0          8         15
GAS          GAS_Q100        0.2     pMCSKY    6390.95       52.1      152.0          8         15
GAS          GAS_Q100        0.2       OURS      75.47        3.8       81.0          8         15
EM            EM_Q100        0.2        SOP   10987.04       98.9      178.0        196        224
EM            EM_Q100        0.2     pMCSKY   10913.12       70.5      150.0        196        224
EM            EM_Q100        0.2       OURS     625.71        8.0       84.0        196        224
TAO          TAO_Q100        0.2        SOP    4211.73       83.7      168.0         51        387
TAO          TAO_Q100        0.2     pMCSKY    4116.01       54.9      140.0         51        387
TAO          TAO_Q100        0.2       OURS      20.43        2.0       78.0         51        387
HPC          HPC_Q100        0.2        SOP    1880.79       51.5      134.0         70        571
HPC          HPC_Q100        0.2     pMCSKY    1656.97       21.0      106.0         70        571
HPC          HPC_Q100        0.2       OURS     144.04        4.9       81.0         70        571
FC            FC_Q100        0.2        SOP    8282.55       66.6      144.0        170        394
FC            FC_Q100        0.2     pMCSKY    8309.60       38.4      116.0        170        394
FC            FC_Q100        0.2       OURS     513.69       10.1       87.0        170        394

STK          STK_Q100        0.2        SOP    2503.61       56.1      134.0         80        307
STK          STK_Q100        0.2     pMCSKY    2504.08       27.8      107.0         80        307
STK          STK_Q100        0.2       OURS      11.40        2.0       78.0         80        307
GAS          GAS_Q100        0.2        SOP    6314.96       81.3      182.0          8         25
GAS          GAS_Q100        0.2     pMCSKY    6447.35       53.2      154.0          8         25
GAS          GAS_Q100        0.2       OURS      90.55        4.0       81.0          8         25
EM            EM_Q100        0.2        SOP   10885.57       98.3      178.0        209        383
EM            EM_Q100        0.2     pMCSKY   10885.64       69.9      149.0        209        383
EM            EM_Q100        0.2       OURS     627.83        8.0       84.0        209        383
TAO          TAO_Q100        0.2        SOP    4433.29       83.7      170.0         69        425
TAO          TAO_Q100        0.2     pMCSKY    4296.24       54.9      141.0         69        425
TAO          TAO_Q100        0.2       OURS      21.63        2.2       78.0         69        425
HPC          HPC_Q100        0.2        SOP    1867.21       51.1      133.0         61        487
HPC          HPC_Q100        0.2     pMCSKY    1732.61       21.5      105.0         61        487
HPC          HPC_Q100        0.2       OURS     134.57        4.6       81.0         61        487
