Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
--------------------------------------------------------------------------------------------------

TAO          TAO_Q100        0.0        SOP    4813.58      235.6      274.0        135        670
TAO          TAO_Q100        0.0     pMCSKY    4582.60      193.9      233.0        135        670
TAO          TAO_Q100        0.0       OURS     113.51        6.1       16.0        135        670
TAO          TAO_Q100        0.4        SOP   23150.79      232.5      422.0        123        583
TAO          TAO_Q100        0.4     pMCSKY   22328.76      173.9      218.0        123        583
TAO          TAO_Q100        0.4       OURS     114.32        6.4       19.0        123        583
TAO          TAO_Q100        0.8        SOP   22649.52      231.0      283.0        116        531
TAO          TAO_Q100        0.8     pMCSKY   22000.07      171.0      226.0        116        531
TAO          TAO_Q100        0.8       OURS     103.98        6.3       18.0        116        531
TAO          TAO_Q100        1.0        SOP   22552.44      230.3      282.0        117        567
TAO          TAO_Q100        1.0     pMCSKY   23870.94      170.7      313.0        117        567
TAO          TAO_Q100        1.0       OURS     120.17        6.2       19.0        117        567
TAO          TAO_Q100        0.0        SOP    4287.68      227.2      267.0        113        422
TAO          TAO_Q100        0.0     pMCSKY    4173.37      185.8      225.0        113        422
TAO          TAO_Q100        0.0       OURS      93.31        6.1       16.0        113        422
TAO          TAO_Q100        0.4        SOP   24238.65      230.6      290.0        124        554
TAO          TAO_Q100        0.4     pMCSKY   23581.54      170.5      224.0        124        554
TAO          TAO_Q100        0.4       OURS     122.22        6.4       19.0        124        554
TAO          TAO_Q100        0.8        SOP   24518.39      232.1      280.0        120        568
TAO          TAO_Q100        0.8     pMCSKY   23758.03      171.6      218.0        120        568
TAO          TAO_Q100        0.8       OURS     115.81        6.2       18.0        120        568
TAO          TAO_Q100        1.0        SOP   24778.57      231.1      279.0        121        550
TAO          TAO_Q100        1.0     pMCSKY   24106.71      170.7      220.0        121        550
TAO          TAO_Q100        1.0       OURS     122.84        6.2       18.0        121        550
TAO          TAO_Q100        0.0        SOP    4593.89      221.5      260.0        100        425
TAO          TAO_Q100        0.0     pMCSKY    4529.33      180.6      220.0        100        425
TAO          TAO_Q100        0.0       OURS      93.32        6.1       16.0        100        425
TAO          TAO_Q100        0.4        SOP   24753.11      231.4      278.0        120        555
TAO          TAO_Q100        0.4     pMCSKY   24024.54      171.8      225.0        120        555
TAO          TAO_Q100        0.4       OURS     115.65        6.2       19.0        120        555
TAO          TAO_Q100        0.8        SOP   23871.82      231.3      276.0        122        564
TAO          TAO_Q100        0.8     pMCSKY   23036.35      171.6      290.0        122        564
TAO          TAO_Q100        0.8       OURS     126.71        6.3       18.0        122        564

TAO          TAO_Q100        0.2        SOP   25302.24      229.0      277.0        122        562
TAO          TAO_Q100        0.2     pMCSKY   24506.16      170.0      218.0        122        562
TAO          TAO_Q100        0.2       OURS     123.90        6.6       19.0        122        562
TAO          TAO_Q100        0.2        SOP   23317.54      230.1      282.0        121        566
TAO          TAO_Q100        0.2     pMCSKY   20969.89      171.1      221.0        121        566
TAO          TAO_Q100        0.2       OURS      97.92        6.4       18.0        121        566
TAO          TAO_Q100        0.2        SOP   22034.71      230.8      281.0        126        594
