Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
EM            EM_Q100        0.0        SOP   15157.63      642.1      684.0         19         25
EM            EM_Q100        0.0     pMCSKY   15176.31      601.0      663.0         19         25
EM            EM_Q100        0.0       OURS    2159.55       16.9       80.0         19         25
EM            EM_Q100        0.2        SOP   40302.55      663.0      745.0        123        123
EM            EM_Q100        0.2     pMCSKY   40450.24      606.5      687.0        123        123
EM            EM_Q100        0.2       OURS    2303.36       16.0       78.0        123        123
EM            EM_Q100        0.4        SOP   42192.10      672.4      764.0        306        307
EM            EM_Q100        0.4     pMCSKY   40617.45      615.7      707.0        306        307
EM            EM_Q100        0.4       OURS    2557.97       16.1       79.0        306        307
EM            EM_Q100        0.8        SOP   44242.53      671.6      763.0         26         26
EM            EM_Q100        0.8     pMCSKY   43280.23      614.8      705.0         26         26
EM            EM_Q100        0.8       OURS    1783.88       15.9       78.0         26         26
EM            EM_Q100        1.0        SOP   41559.51      666.7      756.0        110        112
EM            EM_Q100        1.0     pMCSKY   42070.20      609.7      699.0        110        112
EM            EM_Q100        1.0       OURS    2297.65       15.8       78.0        110        112

GAS          GAS_Q100        0.0        SOP    9373.28      346.6      419.0         34         83
GAS          GAS_Q100        0.0     pMCSKY    8732.98      303.5      377.0         34         83
GAS          GAS_Q100        0.0       OURS     560.43       19.0       80.0         34         83
GAS          GAS_Q100        0.2        SOP   32568.16      373.7      453.0         32         79
GAS          GAS_Q100        0.2     pMCSKY   32467.03      317.0      396.0         32         79
GAS          GAS_Q100        0.2       OURS     417.96       20.2       80.0         32         79
GAS          GAS_Q100        0.4        SOP   31853.05      371.1      458.0         41         93
GAS          GAS_Q100        0.4     pMCSKY   31742.56      312.5      396.0         41         93
GAS          GAS_Q100        0.4       OURS     410.73       17.9       78.0         41         93
GAS          GAS_Q100        0.8        SOP   32355.13      363.8      457.0         40        112
GAS          GAS_Q100        0.8     pMCSKY   32128.16      303.9      401.0         40        112
GAS          GAS_Q100        0.8       OURS     516.11       20.0       80.0         40        112
GAS          GAS_Q100        1.0        SOP   32009.18      361.6      448.0         32         86
GAS          GAS_Q100        1.0     pMCSKY   31955.34      302.6      392.0         32         86
GAS          GAS_Q100        1.0       OURS     454.16       16.7       80.0         32         86

EM            EM_Q100        0.0        SOP   16437.70      674.2      760.0        105        105
EM            EM_Q100        0.0     pMCSKY   15535.60      632.9      718.0        105        105
EM            EM_Q100        0.0       OURS    2199.36       16.9       78.0        105        105
EM            EM_Q100        0.2        SOP   41608.11      672.4      764.0        136        194
EM            EM_Q100        0.2     pMCSKY   41970.48      615.8      707.0        136        194
EM            EM_Q100        0.2       OURS    2453.39       16.3       77.0        136        194
EM            EM_Q100        0.4        SOP   41436.34      670.7      765.0         91         92
EM            EM_Q100        0.4     pMCSKY   41789.70      614.0      707.0         91         92
EM            EM_Q100        0.4       OURS    2417.10       16.0       77.0         91         92
EM            EM_Q100        0.8        SOP   42776.83      671.1      772.0          2          2
EM            EM_Q100        0.8     pMCSKY   41237.97      614.5      714.0          2          2
EM            EM_Q100        0.8       OURS    2079.92       15.6       78.0          2          2
EM            EM_Q100        1.0        SOP   42623.80      668.7      770.0        109        192
