Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
GAS          GAS_Q100        0.0        SOP    6596.94      344.8      420.0         13         18
GAS          GAS_Q100        0.0     pMCSKY    6793.52      303.4      389.0         13         18
GAS          GAS_Q100        0.0       OURS     555.82       21.2       64.0         13         18
GAS          GAS_Q100        0.4        SOP   37212.12      344.1      640.0         11         20
GAS          GAS_Q100        0.4     pMCSKY   35461.51      286.8      407.0         11         20
GAS          GAS_Q100        0.4       OURS     506.90       17.6       63.0         11         20
GAS          GAS_Q100        0.8        SOP   35951.90      345.0      463.0         10         17
GAS          GAS_Q100        0.8     pMCSKY   37146.49      287.7      405.0         10         17
GAS          GAS_Q100        0.8       OURS     506.03       19.2       62.0         10         17
GAS          GAS_Q100        1.0        SOP   34836.06      342.0      484.0         12         20
GAS          GAS_Q100        1.0     pMCSKY   35293.80      284.7      426.0         12         20
GAS          GAS_Q100        1.0       OURS     500.32       17.8       62.0         12         20

EM            EM_Q100        0.0        SOP   14103.49      737.6      859.0         25         29
EM            EM_Q100        0.0     pMCSKY   13883.43      696.6      817.0         25         29
EM            EM_Q100        0.0       OURS    1790.04       15.2       92.0         25         29
EM            EM_Q100        0.4        SOP   48027.52      767.0      912.0         18         20
EM            EM_Q100        0.4     pMCSKY   47711.12      710.0      853.0         18         20
EM            EM_Q100        0.4       OURS    2153.12       14.5       91.0         18         20
EM            EM_Q100        0.8        SOP   45768.83      766.0      921.0         14         15
EM            EM_Q100        0.8     pMCSKY   48223.45      709.0      864.0         14         14
EM            EM_Q100        0.8       OURS    2159.09       14.4       91.0         14         15
EM            EM_Q100        1.0        SOP   45937.07      764.0      918.0         13         13
EM            EM_Q100        1.0     pMCSKY   47672.50      706.9      860.0         13         13
EM            EM_Q100        1.0       OURS    2242.41       14.4       92.0         13         13

GAS          GAS_Q100        0.0        SOP    6739.16      348.7      488.0         13         24
GAS          GAS_Q100        0.0     pMCSKY    6628.70      307.1      444.0         13         24
GAS          GAS_Q100        0.0       OURS     562.52       21.2       98.0         13         24
GAS          GAS_Q100        0.4        SOP   34614.45      343.3      500.0         12         18
GAS          GAS_Q100        0.4     pMCSKY   35381.76      286.0      442.0         12         18
GAS          GAS_Q100        0.4       OURS     504.23       19.2       97.0         12         18
GAS          GAS_Q100        0.8        SOP   34465.64      344.2      508.0          8         14
