Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
HPC          HPC_Q100        0.0        SOP    2341.84      142.5      196.0        132        429
HPC          HPC_Q100        0.0     pMCSKY    2219.98      101.4      165.0        132        429
HPC          HPC_Q100        0.0       OURS     328.83       11.7       34.0        132        429
HPC          HPC_Q100        0.4        SOP    5840.92      142.7      197.0         91        231
HPC          HPC_Q100        0.4     pMCSKY    5595.19       77.8      133.0         91        231
HPC          HPC_Q100        0.4       OURS     217.19       10.2       32.0         91        231
HPC          HPC_Q100        0.8        SOP    5838.28      143.2      206.0         95        241
HPC          HPC_Q100        0.8     pMCSKY    5603.52       78.1      149.0         95        241
HPC          HPC_Q100        0.8       OURS     232.54       10.2       33.0         95        241
HPC          HPC_Q100        1.0        SOP    5847.93      143.2      207.0         99        243
HPC          HPC_Q100        1.0     pMCSKY    5527.89       77.8      142.0         99        243
HPC          HPC_Q100        1.0       OURS     230.24       10.1       32.0         99        243

FC            FC_Q100        0.0        SOP    4739.57      228.3      332.0        330        729
FC            FC_Q100        0.0     pMCSKY    4631.97      187.4      289.0        330        729
FC            FC_Q100        0.0       OURS    3151.88       21.1       57.0        330        729
FC            FC_Q100        0.4        SOP   25678.27      222.6      332.0        323        646
FC            FC_Q100        0.4     pMCSKY   26204.89      166.5      274.0        323        646
FC            FC_Q100        0.4       OURS    2380.05       21.0       59.0        323        646
FC            FC_Q100        0.8        SOP   25087.03      222.2      328.0        333        714
FC            FC_Q100        0.8     pMCSKY   25673.30      166.0      270.0        333        714
FC            FC_Q100        0.8       OURS    2428.62       21.0       54.0        333        714
FC            FC_Q100        1.0        SOP   26038.80      223.6      322.0        351        736
FC            FC_Q100        1.0     pMCSKY   26698.30      167.5      264.0        351        736
FC            FC_Q100        1.0       OURS    2475.98       21.0       45.0        351        736

HPC          HPC_Q100        0.0        SOP    2080.43      135.0      191.0         55        142
HPC          HPC_Q100        0.0     pMCSKY    1897.63       91.3      148.0         55        142
HPC          HPC_Q100        0.0       OURS     178.77       11.7       29.0         55        142
HPC          HPC_Q100        0.4        SOP    5819.74      143.0      201.0         98        250
