Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
HPC            HPC_Q1        0.0      NAIVE      66.75        2.0       12.0       2537       2537
HPC            HPC_Q1        0.0        SOP      57.07        8.0       34.0       2537       2537
HPC            HPC_Q1        0.0     pMCSKY      73.42        5.0       29.0       2537       2537
HPC            HPC_Q1        0.0     OURS-Q       9.02        7.0       26.0       2537       2537
HPC            HPC_Q1        0.0     OURS-D      49.46        7.0       26.0       2537       2537
HPC            HPC_Q1        0.0       OURS      15.34        7.0       26.0       2537       2537
HPC            HPC_Q1        0.1      NAIVE      66.46        2.0       21.0       2537       2537
HPC            HPC_Q1        0.1        SOP      48.32        8.0       28.0       2537       2537
HPC            HPC_Q1        0.1     pMCSKY      67.76        5.0       25.0       2537       2537
HPC            HPC_Q1        0.1     OURS-Q       9.23        7.0       26.0       2537       2537
HPC            HPC_Q1        0.1     OURS-D      48.43        7.0       26.0       2537       2537
HPC            HPC_Q1        0.1       OURS      15.76        7.0       26.0       2537       2537
HPC           HPC_Q10        0.0      NAIVE     702.94        2.0       22.0       4079       4447
HPC           HPC_Q10        0.0        SOP     372.23       88.7      118.0       4079       4447
HPC           HPC_Q10        0.0     pMCSKY     381.35       82.9      111.0       4079       4447
HPC           HPC_Q10        0.0     OURS-Q      19.17       21.4       42.0       4079       4447
HPC           HPC_Q10        0.0     OURS-D     504.79       15.3       36.0       4079       4447
HPC           HPC_Q10        0.0       OURS      83.48       21.4       42.0       4079       4447
HPC           HPC_Q10        0.1      NAIVE    2224.27        2.1       22.0       8780      10691
HPC           HPC_Q10        0.1        SOP    1114.06       86.4      129.0       8780      10691
HPC           HPC_Q10        0.1     pMCSKY    1404.03       60.4       98.0       8780      10691
HPC           HPC_Q10        0.1     OURS-Q     192.39       17.3       37.0       8780      10691
HPC           HPC_Q10        0.1     OURS-D     175.52        6.2       36.0       8780      10691
HPC           HPC_Q10        0.1       OURS      73.43        8.3       39.0       8780      10691
HPC          HPC_Q100        0.0      NAIVE   18577.20        3.0       22.0      19897      73994
HPC          HPC_Q100        0.0        SOP    3728.84      184.4      223.0      19897      73994
HPC          HPC_Q100        0.0     pMCSKY    3374.38      142.1      181.0      19897      73994
HPC          HPC_Q100        0.0     OURS-Q     411.61       21.4       41.0      19897      73994
HPC          HPC_Q100        0.0     OURS-D    6727.60       21.3       42.0      19897      73994
HPC          HPC_Q100        0.0       OURS     594.04       21.5       42.0      19897      73994
HPC          HPC_Q100        0.1      NAIVE   24058.57        3.0       22.0      30662     113897
HPC          HPC_Q100        0.1        SOP   13512.00      199.9      246.0      30662     113897
HPC          HPC_Q100        0.1     pMCSKY   12349.75      142.8      190.0      30662     113897
HPC          HPC_Q100        0.1     OURS-Q     675.72       21.4       42.0      30662     113897
HPC          HPC_Q100        0.1     OURS-D    5469.89       17.9       40.0      30662     113897
HPC          HPC_Q100        0.1       OURS     678.11       18.3       40.0      30662     113897
HPC         HPC_Q1000        0.0      NAIVE  213357.96        3.0       23.0      47377     923823
HPC         HPC_Q1000        0.0        SOP   48491.14      713.5      758.0      47377     923823
