Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ
EM	EM_Q1	0.0	NAIVE	82.73	3.0	22.0	11	11
EM	EM_Q1	0.0	SOP	59.77	8.0	35.0	11	11
EM	EM_Q1	0.0	pMCSKY	63.41	6.8	23.0	11	11
EM	EM_Q1	0.0	MDUAL-Q	13.57	13.0	28.0	11	11
EM	EM_Q1	0.0	MDUAL-D	29.68	13.0	26.0	11	11
EM	EM_Q1	0.0	MDUAL	23.89	13.0	30.0	11	11
EM	EM_Q1	0.1	NAIVE	82.37	3.0	19.0	11	11
EM	EM_Q1	0.1	SOP	51.85	8.0	22.0	11	11
EM	EM_Q1	0.1	pMCSKY	55.54	7.0	19.0	11	11
EM	EM_Q1	0.1	MDUAL-Q	14.15	13.3	23.0	11	11
EM	EM_Q1	0.1	MDUAL-D	31.15	13.0	27.0	11	11
EM	EM_Q1	0.1	MDUAL	23.42	13.0	35.0	11	11
EM	EM_Q10	0.0	NAIVE	2952.60	3.0	23.0	54	59
EM	EM_Q10	0.0	SOP	825.39	170.5	192.0	54	59
EM	EM_Q10	0.0	pMCSKY	837.71	163.5	182.0	54	59
EM	EM_Q10	0.0	MDUAL-Q	967.20	16.0	31.0	54	59
EM	EM_Q10	0.0	MDUAL-D	799.56	14.7	32.0	54	59
EM	EM_Q10	0.0	MDUAL	623.50	16.0	36.0	54	59
EM	EM_Q10	0.1	NAIVE	1666.74	3.0	27.0	25095	31782
EM	EM_Q10	0.1	SOP	4749.42	174.0	244.0	25095	31782
EM	EM_Q10	0.1	pMCSKY	8327.30	166.5	231.0	25095	31782
EM	EM_Q10	0.1	MDUAL-Q	546.70	15.0	40.0	25095	31782
EM	EM_Q10	0.1	MDUAL-D	440.82	9.1	37.0	25095	31782
EM	EM_Q10	0.1	MDUAL	300.77	9.7	35.0	25095	31782
EM	EM_Q100	0.0	NAIVE	28230.84	3.0	23.0	67977	170865
EM	EM_Q100	0.0	SOP	13642.48	667.6	710.0	67977	170865
EM	EM_Q100	0.0	pMCSKY	12924.29	624.9	665.0	67977	170865
EM	EM_Q100	0.0	MDUAL-Q	3524.85	16.6	32.0	67977	170865
EM	EM_Q100	0.0	MDUAL-D	9024.56	15.0	28.0	67977	170865
EM	EM_Q100	0.0	MDUAL	2921.49	16.9	33.0	67977	170865
EM	EM_Q100	0.1	NAIVE	34775.70	3.0	23.0	85720	262814
EM	EM_Q100	0.1	SOP	46946.19	680.2	724.0	85720	262814
EM	EM_Q100	0.1	pMCSKY	50992.73	623.5	671.0	85720	262814
EM	EM_Q100	0.1	MDUAL-Q	3663.76	16.0	32.0	85720	262814
EM	EM_Q100	0.1	MDUAL-D	10090.83	15.1	33.0	85720	262814
EM	EM_Q100	0.1	MDUAL	2927.01	16.2	32.0	85720	262814
EM	EM_Q1000	0.0	NAIVE	360174.23	4.0	18.0	171124	2866888
EM	EM_Q1000	0.0	SOP	160474.21	1276.4	1315.0	171124	2866888
