Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ	paramKey
STK	STK_Q100	0.2	SOP	90132.51	251.0	271.0	883	3316	exponential(2)
STK	STK_Q100	0.2	pMCSKY	84788.49	195.0	200.0	883	3316	exponential(2)
STK	STK_Q100	0.2	MDUAL	2907.82	68.0	97.0	883	3316	exponential(2)
STK	STK_Q100	0.2	SOP	90860.47	262.0	280.0	1044	2744	exponential(4)
STK	STK_Q100	0.2	pMCSKY	85089.06	206.0	211.0	1044	2744	exponential(4)
STK	STK_Q100	0.2	MDUAL	3639.20	97.0	102.0	1049	2749	exponential(4)
STK	STK_Q100	0.2	SOP	76077.91	256.0	267.0	2663	3815	exponential(8)
STK	STK_Q100	0.2	pMCSKY	71046.76	200.0	205.0	2663	3815	exponential(8)
STK	STK_Q100	0.2	MDUAL	2052.84	22.0	88.0	2663	3815	exponential(8)
exponential(8)
TAO	TAO_Q100	0.2	SOP	31302.12	226.0	241.0	78	403	exponential(2)
TAO	TAO_Q100	0.2	pMCSKY	30880.25	158.0	160.0	78	403	exponential(2)
TAO	TAO_Q100	0.2	MDUAL	133.11	5.0	12.0	78	403	exponential(2)
HPC	HPC_Q100	0.2	SOP	10802.98	172.0	176.0	126	529	exponential(2)
HPC	HPC_Q100	0.2	pMCSKY	4632.62	42.0	47.0	126	529	exponential(2)
HPC	HPC_Q100	0.2	MDUAL	688.98	9.0	14.0	126	529	exponential(2)
exponential(2)
TAO	TAO_Q100	0.2	SOP	32424.00	246.0	247.0	57	518	exponential(2)
TAO	TAO_Q100	0.2	pMCSKY	31192.77	178.0	178.0	57	518	exponential(2)
TAO	TAO_Q100	0.2	MDUAL	196.92	6.0	8.0	57	518	exponential(2)
HPC	HPC_Q100	0.2	SOP	10564.81	166.0	170.0	152	398	exponential(2)
HPC	HPC_Q100	0.2	pMCSKY	4586.89	42.0	44.0	152	398	exponential(2)
HPC	HPC_Q100	0.2	MDUAL	748.41	10.0	12.0	152	398	exponential(2)
exponential(2)
TAO	TAO_Q100	0.2	SOP	32492.31	249.0	250.0	118	578	exponential(2)
TAO	TAO_Q100	0.2	pMCSKY	31368.34	181.0	181.0	118	578	exponential(2)
TAO	TAO_Q100	0.2	MDUAL	326.93	8.0	9.0	118	578	exponential(2)
HPC	HPC_Q100	0.2	SOP	10647.77	170.0	173.0	146	401	exponential(2)
HPC	HPC_Q100	0.2	pMCSKY	4823.21	45.0	44.0	146	401	exponential(2)
HPC	HPC_Q100	0.2	MDUAL	681.81	10.0	12.0	146	401	exponential(2)
exponential(2)
TAO	TAO_Q100	0.2	SOP	29370.97	206.0	228.0	59	490	exponential(2)
TAO	TAO_Q100	0.2	pMCSKY	29384.28	140.0	140.0	59	490	exponential(2)
TAO	TAO_Q100	0.2	MDUAL	134.92	5.0	7.0	59	490	exponential(2)
HPC	HPC_Q100	0.2	SOP	10766.21	165.0	168.0	118	211	exponential(2)
HPC	HPC_Q100	0.2	pMCSKY	4840.21	42.0	46.0	118	211	exponential(2)
HPC	HPC_Q100	0.2	MDUAL	660.10	10.0	13.0	118	211	exponential(2)
exponential(2)
TAO	TAO_Q100	0.2	SOP	30435.34	216.0	258.0	81	486	exponential(2)
TAO	TAO_Q100	0.2	pMCSKY	29773.27	150.0	150.0	81	486	exponential(2)
TAO	TAO_Q100	0.2	MDUAL	164.36	5.0	7.0	81	486	exponential(2)
HPC	HPC_Q100	0.2	SOP	10746.93	172.0	175.0	107	271	exponential(2)
HPC	HPC_Q100	0.2	pMCSKY	4718.10	44.0	45.0	107	271	exponential(2)
HPC	HPC_Q100	0.2	MDUAL	581.93	9.0	12.0	107	271	exponential(2)
exponential(2)
TAO	TAO_Q100	0.2	SOP	30651.08	259.0	263.0	171	646	exponential(4)
TAO	TAO_Q100	0.2	pMCSKY	30658.48	190.0	193.0	171	646	exponential(4)
TAO	TAO_Q100	0.2	MDUAL	173.91	6.0	12.0	171	646	exponential(4)
HPC	HPC_Q100	0.2	SOP	10150.20	172.0	177.0	202	711	exponential(4)
HPC	HPC_Q100	0.2	pMCSKY	4405.33	45.0	48.0	202	711	exponential(4)
HPC	HPC_Q100	0.2	MDUAL	548.59	9.0	13.0	202	711	exponential(4)
exponential(4)
TAO	TAO_Q100	0.2	SOP	31060.35	261.0	262.0	190	864	exponential(4)
TAO	TAO_Q100	0.2	pMCSKY	30877.83	193.0	193.0	190	864	exponential(4)
TAO	TAO_Q100	0.2	MDUAL	147.26	5.0	8.0	190	864	exponential(4)
HPC	HPC_Q100	0.2	SOP	10535.63	173.0	177.0	190	451	exponential(4)
HPC	HPC_Q100	0.2	pMCSKY	4623.42	47.0	51.0	190	451	exponential(4)
HPC	HPC_Q100	0.2	MDUAL	526.30	9.0	14.0	190	451	exponential(4)
exponential(4)
TAO	TAO_Q100	0.2	SOP	29320.77	247.0	251.0	160	780	exponential(4)
TAO	TAO_Q100	0.2	pMCSKY	29360.37	179.0	183.0	160	780	exponential(4)
TAO	TAO_Q100	0.2	MDUAL	214.83	6.0	12.0	160	780	exponential(4)
