Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ	paramKey
STK	STK_Q100	0.2	SOP	10990.35	76.0	81.0	150	410	2
STK	STK_Q100	0.2	pMCSKY	12830.71	45.0	50.0	150	410	2
STK	STK_Q100	0.2	MDUAL	70.04	4.0	33.0	150	410	2
GAS	GAS_Q100	0.2	SOP	19415.14	133.0	139.0	225	411	2
GAS	GAS_Q100	0.2	pMCSKY	22719.96	102.0	107.0	225	411	2
GAS	GAS_Q100	0.2	MDUAL	20331.69	267.0	765.0	225	411	2
STK	STK_Q100	0.2	SOP	12740.65	74.0	82.0	80	197	2
STK	STK_Q100	0.2	pMCSKY	14911.35	43.0	48.0	80	197	2
STK	STK_Q100	0.2	MDUAL	37.06	5.0	26.0	80	197	2
GAS	GAS_Q100	0.2	SOP	13601.94	142.0	149.0	28	105	2
GAS	GAS_Q100	0.2	pMCSKY	16293.60	109.0	114.0	28	105	2
GAS	GAS_Q100	0.2	MDUAL	2318.18	55.0	599.0	28	105	2
STK	STK_Q100	0.2	SOP	12583.05	88.0	90.0	431	1135	2
STK	STK_Q100	0.2	pMCSKY	14691.88	58.0	60.0	431	1135	2
STK	STK_Q100	0.2	MDUAL	123.91	4.0	29.0	431	1135	2
GAS	GAS_Q100	0.2	SOP	27371.82	135.0	162.0	2782	5198	2
GAS	GAS_Q100	0.2	pMCSKY	32480.26	101.0	106.0	2782	5198	2
GAS	GAS_Q100	0.2	MDUAL	316107.05	1172.0	1173.0	2782	5198	2
STK	STK_Q100	0.2	SOP	5990.10	72.0	86.0	120	416	2
STK	STK_Q100	0.2	pMCSKY	7090.28	41.0	46.0	120	416	2
STK	STK_Q100	0.2	MDUAL	34.13	3.0	22.0	120	416	2
GAS	GAS_Q100	0.2	SOP	9941.57	131.0	146.0	13	41	2
GAS	GAS_Q100	0.2	pMCSKY	11868.36	99.0	102.0	13	41	2
GAS	GAS_Q100	0.2	MDUAL	601.29	24.0	163.0	13	41	2
STK	STK_Q100	0.2	SOP	10712.40	65.0	70.0	502	887	2
STK	STK_Q100	0.2	pMCSKY	12553.53	35.0	40.0	502	887	2
STK	STK_Q100	0.2	MDUAL	100.87	5.0	17.0	502	887	2
GAS	GAS_Q100	0.2	SOP	13918.70	122.0	130.0	215	505	2
GAS	GAS_Q100	0.2	pMCSKY	16207.36	91.0	96.0	215	505	2
GAS	GAS_Q100	0.2	MDUAL	2558.15	44.0	348.0	215	505	2
STK	STK_Q100	0.2	SOP	8191.04	97.0	113.0	10	213	4
STK	STK_Q100	0.2	pMCSKY	5729.17	35.0	36.0	10	213	4
STK	STK_Q100	0.2	MDUAL	9.80	3.0	8.0	10	213	4
GAS	GAS_Q100	0.2	SOP	16357.62	131.0	168.0	0	0	4
GAS	GAS_Q100	0.2	pMCSKY	15326.53	71.0	75.0	0	0	4
GAS	GAS_Q100	0.2	MDUAL	103.84	6.0	17.0	0	0	4
STK	STK_Q100	0.2	SOP	6785.28	108.0	123.0	11	222	4
STK	STK_Q100	0.2	pMCSKY	4416.45	42.0	47.0	11	222	4
STK	STK_Q100	0.2	MDUAL	4.66	3.0	8.0	11	222	4
GAS	GAS_Q100	0.2	SOP	15241.50	127.0	169.0	0	0	4
GAS	GAS_Q100	0.2	pMCSKY	14393.44	67.0	69.0	0	0	4
GAS	GAS_Q100	0.2	MDUAL	66.31	6.0	18.0	0	0	4
STK	STK_Q100	0.2	SOP	7625.68	104.0	108.0	12	75	4
STK	STK_Q100	0.2	pMCSKY	7780.51	59.0	63.0	12	75	4
STK	STK_Q100	0.2	MDUAL	3.03	3.0	7.0	12	75	4
GAS	GAS_Q100	0.2	SOP	15303.63	125.0	166.0	0	0	4
GAS	GAS_Q100	0.2	pMCSKY	15332.48	73.0	77.0	0	0	4
GAS	GAS_Q100	0.2	MDUAL	71.96	6.0	29.0	0	0	4
STK	STK_Q100	0.2	SOP	7825.03	105.0	109.0	35	181	4
STK	STK_Q100	0.2	pMCSKY	4674.91	31.0	35.0	35	181	4
STK	STK_Q100	0.2	MDUAL	7.42	3.0	8.0	35	181	4
GAS	GAS_Q100	0.2	SOP	20623.55	160.0	177.0	29	29	4
GAS	GAS_Q100	0.2	pMCSKY	20445.48	100.0	104.0	29	29	4
GAS	GAS_Q100	0.2	MDUAL	649.30	24.0	61.0	29	29	4
STK	STK_Q100	0.2	SOP	7914.20	109.0	113.0	20	146	4
STK	STK_Q100	0.2	pMCSKY	5972.85	43.0	47.0	20	146	4
STK	STK_Q100	0.2	MDUAL	4.78	3.0	7.0	20	146	4
GAS	GAS_Q100	0.2	SOP	19428.65	215.0	223.0	0	0	4
GAS	GAS_Q100	0.2	pMCSKY	19151.79	157.0	157.0	0	0	4
GAS	GAS_Q100	0.2	MDUAL	104.32	5.0	348.0	0	0	4
STK	STK_Q100	0.2	SOP	3627.78	116.0	125.0	9	346	8
STK	STK_Q100	0.2	pMCSKY	558.62	30.0	23.0	9	346	8
STK	STK_Q100	0.2	MDUAL	25.50	3.0	8.0	9	346	8
GAS	GAS_Q100	0.2	SOP	6263.09	106.0	132.0	0	0	8
GAS	GAS_Q100	0.2	pMCSKY	195.92	31.0	31.0	0	0	8
GAS	GAS_Q100	0.2	MDUAL	73.79	4.0	8.0	0	0	8
STK	STK_Q100	0.2	SOP	3342.32	116.0	127.0	9	291	8
STK	STK_Q100	0.2	pMCSKY	448.26	30.0	23.0	9	291	8
STK	STK_Q100	0.2	MDUAL	11.96	5.0	8.0	9	291	8
GAS	GAS_Q100	0.2	SOP	6652.67	110.0	137.0	0	0	8
GAS	GAS_Q100	0.2	pMCSKY	5462.91	39.0	34.0	0	0	8
GAS	GAS_Q100	0.2	MDUAL	39.30	4.0	6.0	0	0	8
STK	STK_Q100	0.2	SOP	3475.53	118.0	122.0	9	289	8
STK	STK_Q100	0.2	pMCSKY	491.62	30.0	25.0	9	289	8
STK	STK_Q100	0.2	MDUAL	13.37	3.0	7.0	9	289	8
GAS	GAS_Q100	0.2	SOP	6920.82	115.0	133.0	0	0	8
GAS	GAS_Q100	0.2	pMCSKY	5750.06	41.0	44.0	0	0	8
