Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ	paramKey
STK	STK_Q100	0.2	SOP	3759.07	62.0	67.0	15	113	gaussian(2)
STK	STK_Q100	0.2	pMCSKY	2343.14	16.0	20.0	15	113	gaussian(2)
STK	STK_Q100	0.2	MDUAL	23.34	2.0	7.0	15	113	gaussian(2)
GAS	GAS_Q100	0.2	SOP	9609.36	101.0	105.0	10	36	gaussian(2)
GAS	GAS_Q100	0.2	pMCSKY	9603.48	58.0	60.0	10	36	gaussian(2)
GAS	GAS_Q100	0.2	MDUAL	226.11	5.0	9.0	10	36	gaussian(2)
EM	EM_Q100	0.2	SOP	13444.26	98.0	98.0	0	0	gaussian(2)
EM	EM_Q100	0.2	pMCSKY	13198.95	52.0	53.0	0	0	gaussian(2)
EM	EM_Q100	0.2	MDUAL	903.99	9.0	11.0	0	0	gaussian(2)
TAO	TAO_Q100	0.2	SOP	4366.52	82.0	86.0	40	234	gaussian(2)
TAO	TAO_Q100	0.2	pMCSKY	3793.75	34.0	37.0	40	234	gaussian(2)
TAO	TAO_Q100	0.2	MDUAL	8.32	2.0	7.0	40	234	gaussian(2)
HPC	HPC_Q100	0.2	SOP	2858.62	61.0	68.0	48	945	gaussian(2)
HPC	HPC_Q100	0.2	pMCSKY	1422.97	16.0	20.0	48	945	gaussian(2)
HPC	HPC_Q100	0.2	MDUAL	204.56	6.0	10.0	48	945	gaussian(2)
FC	FC_Q100	0.2	SOP	9605.06	75.0	80.0	48	124	gaussian(2)
FC	FC_Q100	0.2	pMCSKY	10172.09	41.0	42.0	48	124	gaussian(2)
FC	FC_Q100	0.2	MDUAL	407.28	12.0	16.0	48	124	gaussian(2)
gaussian(2)
STK	STK_Q100	0.2	SOP	4394.83	64.0	68.0	36	172	gaussian(2)
STK	STK_Q100	0.2	pMCSKY	2891.90	21.0	25.0	36	172	gaussian(2)
STK	STK_Q100	0.2	MDUAL	10.35	2.0	6.0	36	172	gaussian(2)
GAS	GAS_Q100	0.2	SOP	7220.61	69.0	81.0	9	43	gaussian(2)
