Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ	paramKey
STK	STK_Q100	0.2	SOP	3540.00	60.0	65.0	84	492	uniform(5)
STK	STK_Q100	0.2	pMCSKY	3715.59	32.0	37.0	84	492	uniform(5)
STK	STK_Q100	0.2	MDUAL	43.54	2.0	7.0	84	492	uniform(5)
GAS	GAS_Q100	0.2	SOP	7100.04	92.0	96.0	16	46	uniform(5)
GAS	GAS_Q100	0.2	pMCSKY	7065.04	64.0	67.0	16	46	uniform(5)
GAS	GAS_Q100	0.2	MDUAL	182.02	3.0	9.0	16	46	uniform(5)
EM	EM_Q100	0.2	SOP	12046.00	97.0	101.0	383	805	uniform(5)
EM	EM_Q100	0.2	pMCSKY	12062.73	69.0	69.0	383	805	uniform(5)
EM	EM_Q100	0.2	MDUAL	1054.92	8.0	10.0	383	805	uniform(5)
TAO	TAO_Q100	0.2	SOP	4876.72	80.0	83.0	71	639	uniform(5)
TAO	TAO_Q100	0.2	pMCSKY	4684.54	50.0	53.0	71	639	uniform(5)
TAO	TAO_Q100	0.2	MDUAL	37.95	2.0	8.0	71	639	uniform(5)
HPC	HPC_Q100	0.2	SOP	2958.08	55.0	66.0	80	1155	uniform(5)
HPC	HPC_Q100	0.2	pMCSKY	2729.22	26.0	29.0	80	1155	uniform(5)
HPC	HPC_Q100	0.2	MDUAL	271.38	5.0	9.0	80	1155	uniform(5)
FC	FC_Q100	0.2	SOP	9587.00	72.0	76.0	365	848	uniform(5)
FC	FC_Q100	0.2	pMCSKY	9666.88	44.0	45.0	365	848	uniform(5)
FC	FC_Q100	0.2	MDUAL	1414.25	10.0	12.0	365	848	uniform(5)
uniform(5)
STK	STK_Q100	0.2	SOP	3506.94	59.0	64.0	129	523	uniform(5)
STK	STK_Q100	0.2	pMCSKY	3191.22	29.0	32.0	129	523	uniform(5)
STK	STK_Q100	0.2	MDUAL	17.12	2.0	6.0	129	523	uniform(5)
GAS	GAS_Q100	0.2	SOP	7088.17	91.0	95.0	8	50	uniform(5)
GAS	GAS_Q100	0.2	pMCSKY	7007.45	63.0	66.0	8	50	uniform(5)
GAS	GAS_Q100	0.2	MDUAL	113.16	3.0	6.0	8	50	uniform(5)
EM	EM_Q100	0.2	SOP	12077.94	98.0	101.0	495	1177	uniform(5)
EM	EM_Q100	0.2	pMCSKY	12027.71	69.0	69.0	495	1177	uniform(5)
EM	EM_Q100	0.2	MDUAL	1259.91	9.0	10.0	495	1177	uniform(5)
TAO	TAO_Q100	0.2	SOP	4895.99	80.0	82.0	77	783	uniform(5)
TAO	TAO_Q100	0.2	pMCSKY	4860.95	51.0	55.0	77	783	uniform(5)
TAO	TAO_Q100	0.2	MDUAL	41.15	2.0	8.0	77	783	uniform(5)
HPC	HPC_Q100	0.2	SOP	3095.06	56.0	64.0	94	1213	uniform(5)
HPC	HPC_Q100	0.2	pMCSKY	2858.78	27.0	31.0	94	1213	uniform(5)
HPC	HPC_Q100	0.2	MDUAL	258.85	5.0	9.0	94	1213	uniform(5)
FC	FC_Q100	0.2	SOP	9829.98	73.0	77.0	190	554	uniform(5)
FC	FC_Q100	0.2	pMCSKY	9858.36	45.0	46.0	190	554	uniform(5)
FC	FC_Q100	0.2	MDUAL	1194.05	10.0	12.0	190	554	uniform(5)
uniform(5)
STK	STK_Q100	0.2	SOP	3421.86	59.0	63.0	113	630	uniform(5)
STK	STK_Q100	0.2	pMCSKY	3280.70	30.0	34.0	113	630	uniform(5)
STK	STK_Q100	0.2	MDUAL	23.83	2.0	6.0	113	630	uniform(5)
GAS	GAS_Q100	0.2	SOP	6882.94	89.0	93.0	8	33	uniform(5)
GAS	GAS_Q100	0.2	pMCSKY	6806.57	61.0	62.0	8	33	uniform(5)
GAS	GAS_Q100	0.2	MDUAL	112.80	3.0	5.0	8	33	uniform(5)
EM	EM_Q100	0.2	SOP	12174.28	97.0	100.0	631	1153	uniform(5)
EM	EM_Q100	0.2	pMCSKY	12176.68	69.0	70.0	631	1153	uniform(5)
EM	EM_Q100	0.2	MDUAL	1199.17	8.0	10.0	631	1153	uniform(5)
TAO	TAO_Q100	0.2	SOP	4974.26	78.0	82.0	72	766	uniform(5)
TAO	TAO_Q100	0.2	pMCSKY	4718.44	48.0	52.0	72	766	uniform(5)
TAO	TAO_Q100	0.2	MDUAL	52.07	2.0	8.0	72	766	uniform(5)
HPC	HPC_Q100	0.2	SOP	3080.49	56.0	66.0	130	933	uniform(5)
HPC	HPC_Q100	0.2	pMCSKY	2838.62	27.0	30.0	130	933	uniform(5)
HPC	HPC_Q100	0.2	MDUAL	181.05	5.0	9.0	130	933	uniform(5)
FC	FC_Q100	0.2	SOP	9884.45	72.0	76.0	127	384	uniform(5)
FC	FC_Q100	0.2	pMCSKY	9916.17	44.0	45.0	127	384	uniform(5)
FC	FC_Q100	0.2	MDUAL	967.59	10.0	12.0	127	384	uniform(5)
uniform(5)
STK	STK_Q100	0.2	SOP	3345.59	59.0	64.0	83	550	uniform(5)
STK	STK_Q100	0.2	pMCSKY	3113.16	29.0	33.0	83	550	uniform(5)
STK	STK_Q100	0.2	MDUAL	22.84	2.0	6.0	83	550	uniform(5)
GAS	GAS_Q100	0.2	SOP	7196.13	90.0	95.0	8	54	uniform(5)
GAS	GAS_Q100	0.2	pMCSKY	7135.73	63.0	65.0	8	54	uniform(5)
GAS	GAS_Q100	0.2	MDUAL	138.90	3.0	6.0	8	54	uniform(5)
EM	EM_Q100	0.2	SOP	11992.56	97.0	101.0	506	1005	uniform(5)
EM	EM_Q100	0.2	pMCSKY	11908.40	69.0	69.0	506	1005	uniform(5)
EM	EM_Q100	0.2	MDUAL	859.86	8.0	10.0	506	1005	uniform(5)
TAO	TAO_Q100	0.2	SOP	4950.37	80.0	83.0	75	878	uniform(5)
TAO	TAO_Q100	0.2	pMCSKY	4741.78	50.0	53.0	75	878	uniform(5)
TAO	TAO_Q100	0.2	MDUAL	41.61	2.0	8.0	75	878	uniform(5)
HPC	HPC_Q100	0.2	SOP	3092.55	56.0	67.0	128	1447	uniform(5)
HPC	HPC_Q100	0.2	pMCSKY	2852.09	26.0	31.0	128	1447	uniform(5)
HPC	HPC_Q100	0.2	MDUAL	315.58	5.0	10.0	128	1447	uniform(5)
FC	FC_Q100	0.2	SOP	9326.01	71.0	79.0	215	733	uniform(5)
FC	FC_Q100	0.2	pMCSKY	9317.40	44.0	45.0	215	733	uniform(5)
FC	FC_Q100	0.2	MDUAL	1320.40	10.0	12.0	215	733	uniform(5)
uniform(5)
STK	STK_Q100	0.2	SOP	3431.34	59.0	64.0	99	545	uniform(5)
STK	STK_Q100	0.2	pMCSKY	3233.58	29.0	32.0	99	545	uniform(5)
STK	STK_Q100	0.2	MDUAL	32.47	2.0	6.0	99	545	uniform(5)
GAS	GAS_Q100	0.2	SOP	7203.82	90.0	93.0	8	31	uniform(5)
GAS	GAS_Q100	0.2	pMCSKY	7144.02	62.0	62.0	8	31	uniform(5)
GAS	GAS_Q100	0.2	MDUAL	124.43	3.0	5.0	8	31	uniform(5)
EM	EM_Q100	0.2	SOP	12046.37	97.0	102.0	523	995	uniform(5)
EM	EM_Q100	0.2	pMCSKY	12029.80	69.0	69.0	523	995	uniform(5)
EM	EM_Q100	0.2	MDUAL	1399.53	8.0	10.0	523	995	uniform(5)
TAO	TAO_Q100	0.2	SOP	4730.28	78.0	82.0	83	675	uniform(5)
TAO	TAO_Q100	0.2	pMCSKY	4552.81	49.0	51.0	83	675	uniform(5)
TAO	TAO_Q100	0.2	MDUAL	43.57	2.0	8.0	83	675	uniform(5)
HPC	HPC_Q100	0.2	SOP	2870.68	55.0	67.0	76	714	uniform(5)
HPC	HPC_Q100	0.2	pMCSKY	2649.79	26.0	30.0	76	714	uniform(5)
HPC	HPC_Q100	0.2	MDUAL	199.50	4.0	10.0	76	714	uniform(5)
FC	FC_Q100	0.2	SOP	10011.07	73.0	77.0	352	1177	uniform(5)
FC	FC_Q100	0.2	pMCSKY	10088.85	45.0	47.0	352	1177	uniform(5)
FC	FC_Q100	0.2	MDUAL	1131.71	10.0	12.0	352	1177	uniform(5)
uniform(5)
