Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
TAO            TAO_Q1        0.0      NAIVE      47.49        2.0        7.0        639        639
TAO            TAO_Q1        0.0        SOP      39.28        7.0       13.0        639        639
TAO            TAO_Q1        0.0     pMCSKY      34.19        5.0       15.0        639        639
TAO            TAO_Q1        0.0     OURS-Q       4.06        4.0       12.0        639        639
TAO            TAO_Q1        0.0     OURS-D       9.66        4.0       13.0        639        639
TAO            TAO_Q1        0.0       OURS       3.79        4.0       11.0        639        639
TAO            TAO_Q1        0.1      NAIVE      45.84        2.0       11.0        639        639
TAO            TAO_Q1        0.1        SOP      36.50        7.0       17.0        639        639
TAO            TAO_Q1        0.1     pMCSKY      33.27        5.0       14.0        639        639
TAO            TAO_Q1        0.1     OURS-Q       4.25        4.0       13.0        639        639
TAO            TAO_Q1        0.1     OURS-D       4.91        4.0       13.0        639        639
TAO            TAO_Q1        0.1       OURS       2.60        4.0       13.0        639        639
TAO           TAO_Q10        0.0      NAIVE     431.86        2.0       12.0       2133       2483
TAO           TAO_Q10        0.0        SOP     312.85       81.5      104.0       2133       2483
TAO           TAO_Q10        0.0     pMCSKY     318.88       75.1      103.0       2133       2483
TAO           TAO_Q10        0.0     OURS-Q      16.82        5.0       15.0       2133       2483
TAO           TAO_Q10        0.0     OURS-D      46.58        5.0       14.0       2133       2483
TAO           TAO_Q10        0.0       OURS      17.82        5.0       15.0       2133       2483
TAO           TAO_Q10        0.1      NAIVE     998.21        2.0       12.0       5167       7857
TAO           TAO_Q10        0.1        SOP    1582.59       74.8      123.0       5167       7857
TAO           TAO_Q10        0.1     pMCSKY    2741.36       60.7       97.0       5167       7857
TAO           TAO_Q10        0.1     OURS-Q      48.60        5.0       14.0       5167       7857
TAO           TAO_Q10        0.1     OURS-D      20.65        4.0       14.0       5167       7857
TAO           TAO_Q10        0.1       OURS       5.10        4.6       14.0       5167       7857
TAO          TAO_Q100        0.0      NAIVE   11905.54        2.0       12.0      15579      66380
TAO          TAO_Q100        0.0        SOP    3967.52      212.1      244.0      15579      66380
TAO          TAO_Q100        0.0     pMCSKY    3794.18      171.1      213.0      15579      66380
TAO          TAO_Q100        0.0     OURS-Q     606.38        5.0       15.0      15579      66380
TAO          TAO_Q100        0.0     OURS-D     423.12        5.0       14.0      15579      66380
TAO          TAO_Q100        0.0       OURS      72.03        5.0       15.0      15579      66380
TAO          TAO_Q100        0.1      NAIVE   15395.06        2.0       12.0      16861      67923
TAO          TAO_Q100        0.1        SOP   19144.54      207.4      243.0      16861      67923
TAO          TAO_Q100        0.1     pMCSKY   19146.40      147.1      211.0      16861      67923
TAO          TAO_Q100        0.1     OURS-Q     722.23        5.0       15.0      16861      67923
TAO          TAO_Q100        0.1     OURS-D     604.71        5.4       15.0      16861      67923
TAO          TAO_Q100        0.1       OURS      89.31        6.0       16.0      16861      67923
TAO         TAO_Q1000        0.0      NAIVE  127253.44        2.6       12.0      22659     592322
TAO         TAO_Q1000        0.0        SOP   42491.35      735.1      768.0      22659     592322
TAO         TAO_Q1000        0.0     pMCSKY   40216.88      218.0      251.0      22659     592322
TAO         TAO_Q1000        0.0     OURS-Q    2942.43        6.0       16.0      22659     592322
TAO         TAO_Q1000        0.0     OURS-D    4155.96        5.0       15.0      22659     592322
TAO         TAO_Q1000        0.0       OURS     386.69        6.0       16.0      22659     592322
TAO         TAO_Q1000        0.1      NAIVE  127187.85        2.9       12.0      23792     620116
TAO         TAO_Q1000        0.1        SOP  142483.44      740.2      772.0      23792     620116
TAO         TAO_Q1000        0.1     pMCSKY  140179.64      203.9      241.0      23792     620116
TAO         TAO_Q1000        0.1     OURS-Q    2780.40        6.0       14.0      23792     620116
TAO         TAO_Q1000        0.1     OURS-D    4557.88        5.6       15.0      23792     620116
TAO         TAO_Q1000        0.1       OURS     434.12        6.0       15.0      23792     620116

