DefaultW:1000|gcdS:50|DefaultK:5|variationTimes:10|numWindows:10
Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
STK            STK_Q1        0.0      NAIVE      75.69        3.0        3.0       1235       1235
STK            STK_Q1        0.0        SOP      52.59        9.0        9.0       1235       1235
STK            STK_Q1        0.0     pMCSKY      59.03        6.0        7.0       1203       1203
STK            STK_Q1        0.0     OURS-Q      11.63        5.0        5.0       1235       1235
STK            STK_Q1        0.0     OURS-D       4.45        5.0        5.0       1235       1235
STK            STK_Q1        0.0       OURS       2.57        5.0        5.0       1235       1235
STK            STK_Q1        0.1      NAIVE      75.69        3.0        3.0       1235       1235
STK            STK_Q1        0.1        SOP      52.00        9.0        9.0       1235       1235
STK            STK_Q1        0.1     pMCSKY      59.52        6.0        7.0       1203       1203
STK            STK_Q1        0.1     OURS-Q      10.81        5.0        5.0       1235       1235
STK            STK_Q1        0.1     OURS-D       3.40        5.0        5.0       1235       1235
STK            STK_Q1        0.1       OURS       1.67        5.0        5.0       1235       1235
STK           STK_Q10        0.0      NAIVE    1365.14        3.0        3.0       1720       2429
STK           STK_Q10        0.0        SOP     410.95       81.7       85.0       1720       2429
STK           STK_Q10        0.0     pMCSKY     396.07       74.6       80.0       1720       2429
STK           STK_Q10        0.0     OURS-Q      50.89        5.0        5.0       1720       2429
STK           STK_Q10        0.0     OURS-D      12.88        5.0        5.0       1720       2429
STK           STK_Q10        0.0       OURS       4.90        5.0        5.0       1720       2429
STK           STK_Q10        0.1      NAIVE    2506.20        3.0        3.0       2449       3537
STK           STK_Q10        0.1        SOP    2635.26       92.5      106.0       2449       3537
STK           STK_Q10        0.1     pMCSKY    2474.76       64.9       90.0       2449       3537
STK           STK_Q10        0.1     OURS-Q      98.61        5.0        5.0       2449       3537
STK           STK_Q10        0.1     OURS-D      11.44        5.0        6.0       2449       3537
STK           STK_Q10        0.1       OURS       5.56        5.0        5.0       2449       3537
STK          STK_Q100        0.0      NAIVE   17886.19        3.0        4.0      16397      51082
STK          STK_Q100        0.0        SOP    3551.09      176.9      190.0      16397      51082
STK          STK_Q100        0.0     pMCSKY    3454.77      135.9      151.0      16397      51082
STK          STK_Q100        0.0     OURS-Q     689.32        5.0        6.0      16397      51082
STK          STK_Q100        0.0     OURS-D      66.03        5.0        6.0      16397      51082
STK          STK_Q100        0.0       OURS      19.89        5.0        5.0      16397      51082
STK          STK_Q100        0.1      NAIVE   18366.13        3.0        4.0      13557      40622
STK          STK_Q100        0.1        SOP   16442.15      181.1      195.0      13557      40622
STK          STK_Q100        0.1     pMCSKY   16418.08      120.4      139.0      13557      40622
STK          STK_Q100        0.1     OURS-Q     867.84        5.0        6.0      13557      40622
STK          STK_Q100        0.1     OURS-D      55.36        5.0        6.0      13558      40623
STK          STK_Q100        0.1       OURS      13.97        5.0        5.0      13558      40623
STK         STK_Q1000        0.0      NAIVE  154130.30        4.0        5.0      41392     351385
STK         STK_Q1000        0.0        SOP   30648.39      672.6      676.0      41392     351385
STK         STK_Q1000        0.0     pMCSKY   27947.74      155.7      173.0      41392     351385
STK         STK_Q1000        0.0     OURS-Q    2817.12        6.0        6.0      41392     351385
STK         STK_Q1000        0.0     OURS-D     544.15        6.0        7.0      41392     351385
STK         STK_Q1000        0.0       OURS     112.13        6.0        7.0      41392     351385
