Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
STK          STK_Q100        0.0        SOP    3716.18      175.1      197.0         86        259
STK          STK_Q100        0.0        SOP    3720.39      175.1      197.0         86        259
STK          STK_Q100        0.0        SOP    3757.61      175.1      197.0         86        259
STK          STK_Q100        0.0        SOP    3779.64      175.1      200.0         86        259
STK          STK_Q100        0.0        SOP    3790.38      175.1      197.0         86        259
STK          STK_Q100        0.0     pMCSKY    3575.54      133.3      156.0         86        259
STK          STK_Q100        0.0     pMCSKY    3572.60      133.3      155.0         86        259
STK          STK_Q100        0.0     pMCSKY    3509.86      133.3      156.0         86        259
STK          STK_Q100        0.0     pMCSKY    3525.43      133.3      155.0         86        259
STK          STK_Q100        0.0     pMCSKY    3522.70      133.3      156.0         86        259
STK          STK_Q100        0.0       OURS      19.37        4.0        9.0         86        259
STK          STK_Q100        0.0       OURS      19.48        4.0        9.0         86        259
STK          STK_Q100        0.0       OURS      18.16        4.0        9.0         86        259
STK          STK_Q100        0.0       OURS      19.07        4.0        9.0         86        259
STK          STK_Q100        0.0       OURS      18.24        4.0        9.0         86        259
STK          STK_Q100        0.1        SOP   13249.23      178.1      203.0         82        247
STK          STK_Q100        0.1        SOP   13276.73      178.1      199.0         82        247
STK          STK_Q100        0.1        SOP   13255.78      178.1      200.0         82        247
STK          STK_Q100        0.1        SOP   13257.69      178.1      199.0         82        247
STK          STK_Q100        0.1        SOP   13212.39      178.1      199.0         82        247
STK          STK_Q100        0.1     pMCSKY   13751.08      120.8      150.0         82        247
STK          STK_Q100        0.1     pMCSKY   13782.65      120.8      143.0         82        247
STK          STK_Q100        0.1     pMCSKY   13791.18      120.8      151.0         82        247
STK          STK_Q100        0.1     pMCSKY   13757.25      120.8      154.0         82        247
STK          STK_Q100        0.1     pMCSKY   13761.04      120.8      143.0         82        247
STK          STK_Q100        0.1       OURS      18.91        4.0        9.0         82        247
STK          STK_Q100        0.1       OURS      17.60        4.0        9.0         82        247
STK          STK_Q100        0.1       OURS      18.17        4.0        9.0         82        247
STK          STK_Q100        0.1       OURS      18.79        4.0        9.0         82        247
STK          STK_Q100        0.1       OURS      19.46        4.0        9.0         82        247
STK          STK_Q100        0.5        SOP   15336.92      186.8      207.0         80        270
STK          STK_Q100        0.5        SOP   15425.68      186.8      207.0         80        270
STK          STK_Q100        0.5        SOP   15411.05      186.8      207.0         80        270
STK          STK_Q100        0.5        SOP   15410.35      186.8      207.0         80        270
STK          STK_Q100        0.5        SOP   15389.46      186.8      207.0         80        270
STK          STK_Q100        0.5     pMCSKY   15997.92      129.8      150.0         80        270
STK          STK_Q100        0.5     pMCSKY   16045.10      129.8      150.0         80        270
