Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ
STK	STK_Q1	0.0	NAIVE	75.69	3.0	3.0	1235	1235
STK	STK_Q1	0.0	SOP	52.59	9.0	9.0	1235	1235
STK	STK_Q1	0.0	pMCSKY	59.03	6.0	7.0	1203	1203
STK	STK_Q1	0.0	OURS-Q	11.63	5.0	5.0	1235	1235
STK	STK_Q1	0.0	OURS-D	4.45	5.0	5.0	1235	1235
STK	STK_Q1	0.0	OURS	2.57	5.0	5.0	1235	1235
STK	STK_Q1	0.1	NAIVE	75.69	3.0	3.0	1235	1235
STK	STK_Q1	0.1	SOP	52.00	9.0	9.0	1235	1235
STK	STK_Q1	0.1	pMCSKY	59.52	6.0	7.0	1203	1203
STK	STK_Q1	0.1	OURS-Q	10.81	5.0	5.0	1235	1235
STK	STK_Q1	0.1	OURS-D	3.40	5.0	5.0	1235	1235
STK	STK_Q1	0.1	OURS	1.67	5.0	5.0	1235	1235
STK	STK_Q10	0.0	NAIVE	1365.14	3.0	3.0	1720	2429
STK	STK_Q10	0.0	SOP	410.95	81.7	85.0	1720	2429
STK	STK_Q10	0.0	pMCSKY	396.07	74.6	80.0	1720	2429
STK	STK_Q10	0.0	OURS-Q	50.89	5.0	5.0	1720	2429
STK	STK_Q10	0.0	OURS-D	12.88	5.0	5.0	1720	2429
STK	STK_Q10	0.0	OURS	4.90	5.0	5.0	1720	2429
STK	STK_Q10	0.1	NAIVE	2506.20	3.0	3.0	2449	3537
STK	STK_Q10	0.1	SOP	2635.26	92.5	106.0	2449	3537
STK	STK_Q10	0.1	pMCSKY	2474.76	64.9	90.0	2449	3537
STK	STK_Q10	0.1	OURS-Q	98.61	5.0	5.0	2449	3537
STK	STK_Q10	0.1	OURS-D	11.44	5.0	6.0	2449	3537
STK	STK_Q10	0.1	OURS	5.56	5.0	5.0	2449	3537
STK	STK_Q100	0.0	NAIVE	17886.19	3.0	4.0	16397	51082
STK	STK_Q100	0.0	SOP	3551.09	176.9	190.0	16397	51082
STK	STK_Q100	0.0	pMCSKY	3454.77	135.9	151.0	16397	51082
STK	STK_Q100	0.0	OURS-Q	689.32	5.0	6.0	16397	51082
STK	STK_Q100	0.0	OURS-D	66.03	5.0	6.0	16397	51082
STK	STK_Q100	0.0	OURS	19.89	5.0	5.0	16397	51082
STK	STK_Q100	0.1	NAIVE	18366.13	3.0	4.0	13557	40622
STK	STK_Q100	0.1	SOP	16442.15	181.1	195.0	13557	40622
STK	STK_Q100	0.1	pMCSKY	16418.08	120.4	139.0	13557	40622
STK	STK_Q100	0.1	OURS-Q	867.84	5.0	6.0	13557	40622
STK	STK_Q100	0.1	OURS-D	55.36	5.0	6.0	13558	40623
STK	STK_Q100	0.1	OURS	13.97	5.0	5.0	13558	40623
STK	STK_Q1000	0.0	NAIVE	154130.30	4.0	5.0	41392	351385
STK	STK_Q1000	0.0	SOP	30648.39	672.6	676.0	41392	351385
STK	STK_Q1000	0.0	pMCSKY	27947.74	155.7	173.0	41392	351385
STK	STK_Q1000	0.0	OURS-Q	2817.12	6.0	6.0	41392	351385
STK	STK_Q1000	0.0	OURS-D	544.15	6.0	7.0	41392	351385
STK	STK_Q1000	0.0	OURS	112.13	6.0	7.0	41392	351385
STK	STK_Q1000	0.1	NAIVE	225318.14	3.7	4.0	41657	367605
STK	STK_Q1000	0.1	SOP	122838.13	682.1	689.0	41657	367605
STK	STK_Q1000	0.1	pMCSKY	138780.55	145.6	167.0	41657	367605
STK	STK_Q1000	0.1	OURS-Q	4495.00	5.9	11.0	41657	367605
TAO	TAO_Q1	0.0	NAIVE	47.49	2.0	7.0	639	639
TAO	TAO_Q1	0.0	SOP	39.28	7.0	13.0	639	639
TAO	TAO_Q1	0.0	pMCSKY	34.19	5.0	15.0	639	639
TAO	TAO_Q1	0.0	OURS-Q	4.06	4.0	12.0	639	639
TAO	TAO_Q1	0.0	OURS-D	9.66	4.0	13.0	639	639
TAO	TAO_Q1	0.0	OURS	3.79	4.0	11.0	639	639
TAO	TAO_Q1	0.1	NAIVE	45.84	2.0	11.0	639	639
TAO	TAO_Q1	0.1	SOP	36.50	7.0	17.0	639	639
TAO	TAO_Q1	0.1	pMCSKY	33.27	5.0	14.0	639	639
TAO	TAO_Q1	0.1	OURS-Q	4.25	4.0	13.0	639	639
TAO	TAO_Q1	0.1	OURS-D	4.91	4.0	13.0	639	639
TAO	TAO_Q1	0.1	OURS	2.60	4.0	13.0	639	639
TAO	TAO_Q10	0.0	NAIVE	431.86	2.0	12.0	2133	2483
TAO	TAO_Q10	0.0	SOP	312.85	81.5	104.0	2133	2483
TAO	TAO_Q10	0.0	pMCSKY	318.88	75.1	103.0	2133	2483
TAO	TAO_Q10	0.0	OURS-Q	16.82	5.0	15.0	2133	2483
TAO	TAO_Q10	0.0	OURS-D	46.58	5.0	14.0	2133	2483
TAO	TAO_Q10	0.0	OURS	17.82	5.0	15.0	2133	2483
TAO	TAO_Q10	0.1	NAIVE	998.21	2.0	12.0	5167	7857
TAO	TAO_Q10	0.1	SOP	1582.59	74.8	123.0	5167	7857
TAO	TAO_Q10	0.1	pMCSKY	2741.36	60.7	97.0	5167	7857
TAO	TAO_Q10	0.1	OURS-Q	48.60	5.0	14.0	5167	7857
TAO	TAO_Q10	0.1	OURS-D	20.65	4.0	14.0	5167	7857
TAO	TAO_Q10	0.1	OURS	5.10	4.6	14.0	5167	7857
TAO	TAO_Q100	0.0	NAIVE	11905.54	2.0	12.0	15579	66380
TAO	TAO_Q100	0.0	SOP	3967.52	212.1	244.0	15579	66380
TAO	TAO_Q100	0.0	pMCSKY	3794.18	171.1	213.0	15579	66380
TAO	TAO_Q100	0.0	OURS-Q	606.38	5.0	15.0	15579	66380
TAO	TAO_Q100	0.0	OURS-D	423.12	5.0	14.0	15579	66380
TAO	TAO_Q100	0.0	OURS	72.03	5.0	15.0	15579	66380
TAO	TAO_Q100	0.1	NAIVE	15395.06	2.0	12.0	16861	67923
TAO	TAO_Q100	0.1	SOP	19144.54	207.4	243.0	16861	67923
TAO	TAO_Q100	0.1	pMCSKY	19146.40	147.1	211.0	16861	67923
TAO	TAO_Q100	0.1	OURS-Q	722.23	5.0	15.0	16861	67923
TAO	TAO_Q100	0.1	OURS-D	604.71	5.4	15.0	16861	67923
TAO	TAO_Q100	0.1	OURS	89.31	6.0	16.0	16861	67923
TAO	TAO_Q1000	0.0	NAIVE	127253.44	2.6	12.0	22659	592322
TAO	TAO_Q1000	0.0	SOP	42491.35	735.1	768.0	22659	592322
HPC	HPC_Q1	0.0	NAIVE	66.75	2.0	12.0	2537	2537
HPC	HPC_Q1	0.0	SOP	57.07	8.0	34.0	2537	2537
HPC	HPC_Q1	0.0	pMCSKY	73.42	5.0	29.0	2537	2537
HPC	HPC_Q1	0.0	OURS-Q	9.02	7.0	26.0	2537	2537
HPC	HPC_Q1	0.0	OURS-D	49.46	7.0	26.0	2537	2537
HPC	HPC_Q1	0.0	OURS	15.34	7.0	26.0	2537	2537
HPC	HPC_Q1	0.1	NAIVE	66.46	2.0	21.0	2537	2537
HPC	HPC_Q1	0.1	SOP	48.32	8.0	28.0	2537	2537
HPC	HPC_Q1	0.1	pMCSKY	67.76	5.0	25.0	2537	2537
HPC	HPC_Q1	0.1	OURS-Q	9.23	7.0	26.0	2537	2537
HPC	HPC_Q1	0.1	OURS-D	48.43	7.0	26.0	2537	2537
HPC	HPC_Q1	0.1	OURS	15.76	7.0	26.0	2537	2537
HPC	HPC_Q10	0.0	NAIVE	702.94	2.0	22.0	4079	4447
HPC	HPC_Q10	0.0	SOP	372.23	88.7	118.0	4079	4447
